date,outlet,dish,quantity,channel
2024-03-20,Downtown,Chicken Rice Bowl,16,POS
2024-03-20,Downtown,Chicken Rice Bowl,5,Delivery
2024-03-20,Downtown,Beef Burger,21,POS
2024-03-20,Downtown,Beef Burger,8,Delivery
2024-03-20,Downtown,Veggie Salad,26,POS
2024-03-20,Downtown,Veggie Salad,10,Delivery
2024-03-20,Downtown,Spaghetti Bolognese,27,POS
2024-03-20,Downtown,Spaghetti Bolognese,11,Delivery
2024-03-20,Downtown,Fried Rice,29,POS
2024-03-20,Downtown,Fried Rice,12,Delivery
2024-03-20,Downtown,Ramen,38,POS
2024-03-20,Downtown,Ramen,14,Delivery
2024-03-20,Downtown,Grilled Chicken Plate,15,POS
2024-03-20,Downtown,Grilled Chicken Plate,5,Delivery
2024-03-20,Downtown,Caesar Wrap,21,POS
2024-03-20,Downtown,Caesar Wrap,8,Delivery
2024-03-20,Downtown,Margherita Pizza,21,POS
2024-03-20,Downtown,Margherita Pizza,8,Delivery
2024-03-20,Downtown,Pad Thai,29,POS
2024-03-20,Downtown,Pad Thai,12,Delivery
2024-03-20,Downtown,Beef Rice Bowl,35,POS
2024-03-20,Downtown,Beef Rice Bowl,14,Delivery
2024-03-20,Downtown,Mushroom Pizza,36,POS
2024-03-20,Downtown,Mushroom Pizza,14,Delivery
2024-03-20,Marina,Chicken Rice Bowl,17,POS
2024-03-20,Marina,Chicken Rice Bowl,6,Delivery
2024-03-20,Marina,Beef Burger,19,POS
2024-03-20,Marina,Beef Burger,7,Delivery
2024-03-20,Marina,Veggie Salad,21,POS
2024-03-20,Marina,Veggie Salad,9,Delivery
2024-03-20,Marina,Spaghetti Bolognese,24,POS
2024-03-20,Marina,Spaghetti Bolognese,8,Delivery
2024-03-20,Marina,Fish Tacos,31,POS
2024-03-20,Marina,Fish Tacos,13,Delivery
2024-03-20,Marina,Fried Rice,30,POS
2024-03-20,Marina,Fried Rice,12,Delivery
2024-03-20,Marina,Ramen,35,POS
2024-03-20,Marina,Ramen,14,Delivery
2024-03-20,Marina,Grilled Chicken Plate,12,POS
2024-03-20,Marina,Grilled Chicken Plate,5,Delivery
2024-03-20,Marina,Caesar Wrap,21,POS
2024-03-20,Marina,Caesar Wrap,8,Delivery
2024-03-20,Marina,Margherita Pizza,20,POS
2024-03-20,Marina,Margherita Pizza,7,Delivery
2024-03-20,Marina,Pad Thai,28,POS
2024-03-20,Marina,Pad Thai,11,Delivery
2024-03-20,Marina,Beef Rice Bowl,28,POS
2024-03-20,Marina,Beef Rice Bowl,9,Delivery
2024-03-20,Marina,Mushroom Pizza,40,POS
2024-03-20,Marina,Mushroom Pizza,15,Delivery
2024-03-20,Uptown,Chicken Rice Bowl,11,POS
2024-03-20,Uptown,Chicken Rice Bowl,4,Delivery
2024-03-20,Uptown,Beef Burger,14,POS
2024-03-20,Uptown,Beef Burger,5,Delivery
2024-03-20,Uptown,Veggie Salad,18,POS
2024-03-20,Uptown,Veggie Salad,8,Delivery
2024-03-20,Uptown,Fish Tacos,25,POS
2024-03-20,Uptown,Fish Tacos,11,Delivery
2024-03-20,Uptown,Fried Rice,24,POS
2024-03-20,Uptown,Fried Rice,11,Delivery
2024-03-20,Uptown,Ramen,30,POS
2024-03-20,Uptown,Ramen,12,Delivery
2024-03-20,Uptown,Grilled Chicken Plate,10,POS
2024-03-20,Uptown,Grilled Chicken Plate,4,Delivery
2024-03-20,Uptown,Caesar Wrap,15,POS
2024-03-20,Uptown,Caesar Wrap,7,Delivery
2024-03-20,Uptown,Margherita Pizza,16,POS
2024-03-20,Uptown,Margherita Pizza,6,Delivery
2024-03-20,Uptown,Pad Thai,21,POS
2024-03-20,Uptown,Pad Thai,9,Delivery
2024-03-20,Uptown,Beef Rice Bowl,23,POS
2024-03-20,Uptown,Beef Rice Bowl,9,Delivery
2024-03-20,Uptown,Mushroom Pizza,27,POS
2024-03-20,Uptown,Mushroom Pizza,10,Delivery
2024-03-20,Airport,Chicken Rice Bowl,15,POS
2024-03-20,Airport,Chicken Rice Bowl,7,Delivery
2024-03-20,Airport,Beef Burger,19,POS
2024-03-20,Airport,Beef Burger,7,Delivery
2024-03-20,Airport,Veggie Salad,25,POS
2024-03-20,Airport,Veggie Salad,10,Delivery
2024-03-20,Airport,Spaghetti Bolognese,33,POS
2024-03-20,Airport,Spaghetti Bolognese,12,Delivery
2024-03-20,Airport,Fish Tacos,30,POS
2024-03-20,Airport,Fish Tacos,13,Delivery
2024-03-20,Airport,Fried Rice,40,POS
2024-03-20,Airport,Fried Rice,17,Delivery
2024-03-20,Airport,Ramen,46,POS
2024-03-20,Airport,Ramen,18,Delivery
2024-03-20,Airport,Grilled Chicken Plate,20,POS
2024-03-20,Airport,Grilled Chicken Plate,8,Delivery
2024-03-20,Airport,Caesar Wrap,20,POS
2024-03-20,Airport,Caesar Wrap,8,Delivery
2024-03-20,Airport,Margherita Pizza,27,POS
2024-03-20,Airport,Margherita Pizza,11,Delivery
2024-03-20,Airport,Pad Thai,35,POS
2024-03-20,Airport,Pad Thai,13,Delivery
2024-03-20,Airport,Beef Rice Bowl,34,POS
2024-03-20,Airport,Beef Rice Bowl,14,Delivery
2024-03-20,Airport,Mushroom Pizza,44,POS
2024-03-20,Airport,Mushroom Pizza,16,Delivery
2024-03-21,Downtown,Chicken Rice Bowl,17,POS
2024-03-21,Downtown,Chicken Rice Bowl,6,Delivery
2024-03-21,Downtown,Beef Burger,18,POS
2024-03-21,Downtown,Beef Burger,7,Delivery
2024-03-21,Downtown,Veggie Salad,28,POS
2024-03-21,Downtown,Veggie Salad,10,Delivery
2024-03-21,Downtown,Spaghetti Bolognese,24,POS
2024-03-21,Downtown,Spaghetti Bolognese,10,Delivery
2024-03-21,Downtown,Fish Tacos,34,POS
2024-03-21,Downtown,Fish Tacos,13,Delivery
2024-03-21,Downtown,Fried Rice,42,POS
2024-03-21,Downtown,Fried Rice,16,Delivery
2024-03-21,Downtown,Ramen,40,POS
2024-03-21,Downtown,Ramen,15,Delivery
2024-03-21,Downtown,Grilled Chicken Plate,13,POS
2024-03-21,Downtown,Grilled Chicken Plate,6,Delivery
2024-03-21,Downtown,Caesar Wrap,19,POS
2024-03-21,Downtown,Caesar Wrap,7,Delivery
2024-03-21,Downtown,Margherita Pizza,21,POS
2024-03-21,Downtown,Margherita Pizza,9,Delivery
2024-03-21,Downtown,Pad Thai,35,POS
2024-03-21,Downtown,Pad Thai,12,Delivery
2024-03-21,Downtown,Beef Rice Bowl,35,POS
2024-03-21,Downtown,Beef Rice Bowl,12,Delivery
2024-03-21,Downtown,Mushroom Pizza,37,POS
2024-03-21,Downtown,Mushroom Pizza,14,Delivery
2024-03-21,Marina,Chicken Rice Bowl,15,POS
2024-03-21,Marina,Chicken Rice Bowl,6,Delivery
2024-03-21,Marina,Beef Burger,17,POS
2024-03-21,Marina,Beef Burger,6,Delivery
2024-03-21,Marina,Veggie Salad,16,POS
2024-03-21,Marina,Veggie Salad,6,Delivery
2024-03-21,Marina,Spaghetti Bolognese,25,POS
2024-03-21,Marina,Spaghetti Bolognese,10,Delivery
2024-03-21,Marina,Fish Tacos,22,POS
2024-03-21,Marina,Fish Tacos,9,Delivery
2024-03-21,Marina,Fried Rice,32,POS
2024-03-21,Marina,Fried Rice,14,Delivery
2024-03-21,Marina,Ramen,39,POS
2024-03-21,Marina,Ramen,16,Delivery
2024-03-21,Marina,Grilled Chicken Plate,15,POS
2024-03-21,Marina,Grilled Chicken Plate,6,Delivery
2024-03-21,Marina,Caesar Wrap,16,POS
2024-03-21,Marina,Caesar Wrap,6,Delivery
2024-03-21,Marina,Margherita Pizza,21,POS
2024-03-21,Marina,Margherita Pizza,9,Delivery
2024-03-21,Marina,Pad Thai,26,POS
2024-03-21,Marina,Pad Thai,11,Delivery
2024-03-21,Marina,Beef Rice Bowl,27,POS
2024-03-21,Marina,Beef Rice Bowl,12,Delivery
2024-03-21,Marina,Mushroom Pizza,28,POS
2024-03-21,Marina,Mushroom Pizza,11,Delivery
2024-03-21,Uptown,Chicken Rice Bowl,15,POS
2024-03-21,Uptown,Chicken Rice Bowl,6,Delivery
2024-03-21,Uptown,Beef Burger,16,POS
2024-03-21,Uptown,Beef Burger,6,Delivery
2024-03-21,Uptown,Veggie Salad,20,POS
2024-03-21,Uptown,Veggie Salad,8,Delivery
2024-03-21,Uptown,Spaghetti Bolognese,26,POS
2024-03-21,Uptown,Spaghetti Bolognese,10,Delivery
2024-03-21,Uptown,Fish Tacos,25,POS
2024-03-21,Uptown,Fish Tacos,11,Delivery
2024-03-21,Uptown,Fried Rice,33,POS
